time,imsi,oldState,newState
0.240214,1,3,5
0.240214,1,5,6
0.256,1,6,7
0.265214,1,7,8
0.265214,1,8,9
0.656001,1,9,10
0.660214,1,10,9
27.456,1,9,10
27.4602,1,10,9
38.656,1,9,10
38.6602,1,10,9
61.056,1,9,10
61.0602,1,10,9
81.456,1,9,10
81.4602,1,10,9
101.456,1,9,10
101.46,1,10,9
148.456,1,9,10
148.46,1,10,9
185.856,1,9,10
185.86,1,10,9
215.056,1,9,10
215.06,1,10,9
263.456,1,9,10
263.46,1,10,9
